Produit,,ingredient_initial,pourcentage,ingredient_reco,similarity,carbon_emission,categorie,saison,carbon_emission_total
salade,11,epinard,,champignon,0.788039,0.033373,"['viandes, œufs, poissons', 'aides culinaires ...",,0
salade,9,epinard,,carotte,0.801704,0.05689,"['aides culinaires et ingrédients divers', 'en...",,0
salade,13,epinard,,tomate,0.781377,0.096879,"['aides culinaires et ingrédients divers', 'en...",,0
salade,10,epinard,,poireau,0.798277,0.098156,"['aides culinaires et ingrédients divers', 'en...",,0
salade,1,epinard,,chou-fleur,0.884159,0.09875,NaN,,0
salade,3,epinard,,haricot vert,0.879741,0.110365,"['entrées et plats composés', 'fruits, légumes...",,0
salade,4,epinard,,celeri-rave,0.853598,0.186708,"['fruits, légumes, légumineuses et oléagineux'...",,0
salade,16,epinard,,chou vert,0.714106,0.203507,['entrées et plats composés'],,0
salade,7,epinard,,potiron,0.847828,0.204245,['entrées et plats composés'],,0
salade,0,epinard,,epinard,1,0.220338,[entrées et plats composés],,0
salade,0,salade verte,,salade verte,1,0.02232,[entrées et plats composés],,0
salade,18,tomate,,champignon,0.702318,0.033373,"['viandes, œufs, poissons', 'aides culinaires ...",,0
salade,7,tomate,,carotte,0.745133,0.05689,"['aides culinaires et ingrédients divers', 'en...",,0
salade,0,tomate,,tomate,1,0.096879,"[aides culinaires et ingrédients divers, entré",,0
salade,4,quinoa,,sarrasin,0.770391,0.015799,['produits céréaliers'],,0
salade,12,quinoa,,haricot mungo,0.727075,0.108475,"['matières grasses', 'entrées et plats composé...",,0
salade,7,quinoa,,son de riz,0.76023,0.117,NaN,,0
salade,9,quinoa,,haricot rouge,0.747253,0.156095,['entrées et plats composés'],,0
salade,17,quinoa,,artichaut,0.701296,0.2378,NaN,,0
salade,10,quinoa,,huile de mais,0.731023,0.332,NaN,,0
salade,1,quinoa,,lentille,0.819051,0.375,NaN,,0
salade,2,quinoa,,chia,0.788393,0.375,NaN,,0
salade,15,quinoa,,igname,0.711026,0.3795,NaN,,0
salade,0,quinoa,,quinoa,1,0.417,NaN,,0
salade,8,quinoa,,echalote,0.680052,0.016727,"['aides culinaires et ingrédients divers', 'en...",,0
salade,7,oignon,,champignon,0.689964,0.033373,"['viandes, œufs, poissons', 'aides culinaires ...",,0
salade,12,oignon,,curcuma,0.652104,0.047,NaN,,0
salade,13,oignon,,carotte,0.650484,0.05689,"['aides culinaires et ingrédients divers', 'en...",,0
salade,1,oignon,,poireau,0.735545,0.098156,"['aides culinaires et ingrédients divers', 'en...",,0
salade,4,oignon,,chou-fleur,0.708745,0.09875,NaN,,0
salade,6,oignon,,haricot vert,0.693327,0.110365,"['entrées et plats composés', 'fruits, légumes...",,0
salade,16,oignon,,poivron rouge,0.640889,0.162,NaN,,0
salade,5,oignon,,celeri-rave,0.69548,0.186708,"['fruits, légumes, légumineuses et oléagineux'...",,0
salade,11,oignon,,chou vert,0.652272,0.203507,['entrées et plats composés'],,0
salade,17,oignon,,potiron,0.640746,0.204245,['entrées et plats composés'],,0
salade,19,oignon,,epinard,0.638559,0.220338,['entrées et plats composés'],,0
salade,3,oignon,,brocoli,0.718777,0.221277,['entrées et plats composés'],,0
salade,2,oignon,,panais,0.734588,0.246,NaN,,0
salade,10,oignon,,chou blanc,0.667556,0.297909,['entrées et plats composés'],,0
salade,14,oignon,,celeri branche,0.64569,0.302,NaN,,0
salade,9,oignon,,bouillon de legumes,0.674256,0.321,NaN,,0
salade,0,oignon,,oignon,1,0.3925,NaN,,0
salade,18,parmesan,,origan,0.778781,0.05734,['aides culinaires et ingrédients divers'],,0
salade,15,parmesan,,pain de mie,0.781926,0.075,NaN,,0
salade,13,parmesan,,semoule de ble dur,0.791958,0.132,NaN,,0
salade,4,parmesan,,sauce bechamel,0.849725,0.276,NaN,,0
salade,19,parmesan,,pates,0.777177,0.309998,['entrées et plats composés'],,0
salade,17,parmesan,,tomate cerise,0.778944,0.509,NaN,,0
salade,12,parmesan,,comte,0.793074,0.542258,['entrées et plats composés'],,0
salade,11,parmesan,,gorgonzola,0.80881,0.543,NaN,,0
salade,2,parmesan,,grana padano,0.881918,0.627,NaN,,0
salade,5,parmesan,,edam,0.842052,0.627,NaN,,0
salade,9,parmesan,,cheddar,0.823404,0.627,NaN,,0
salade,16,parmesan,,gouda,0.778955,0.627,NaN,,0
salade,0,parmesan,,parmesan,1,0.637643,"[aides culinaires et ingrédients divers, entré.",,0
salade,8,tomate cerise,,olives,0.769718,0.016174,"['aides culinaires et ingrédients divers', 'en...",,0
salade,7,tomate cerise,,salade verte,0.772382,0.02232,['entrées et plats composés'],,0
salade,10,tomate cerise,,tomate,0.75475,0.096879,"['aides culinaires et ingrédients divers', 'en...",,0
salade,0,tomate cerise,,vinaigre balsamique,0.849069,0.112,NaN,,0
salade,5,tomate cerise,,jambon cru,0.783879,0.126,NaN,,0
