city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Ondres,43.5608,-1.4494,France,FR,Nouvelle-Aquitaine,,5356,5356
Châtillon-sur-Seine,47.8583,4.5742,France,FR,Bourgogne-Franche-Comté,,5354,5354
Decazeville,44.5592,2.2556,France,FR,Occitanie,,5353,5353
Arnage,47.9261,0.1878,France,FR,Pays de la Loire,,5351,5351
Sillingy,45.9458,6.0353,France,FR,Auvergne-Rhône-Alpes,,5348,5348
Scaër,48.0272,-3.7022,France,FR,Bretagne,,5345,5345
Saint-Georges-de-Didonne,45.6053,-0.9986,France,FR,Nouvelle-Aquitaine,,5340,5340
Bordères-sur-l’Échez,43.2592,0.0492,France,FR,Occitanie,,5340,5340
Villennes-sur-Seine,48.9392,1.9978,France,FR,Île-de-France,,5331,5331
Marsannay-la-Côte,47.2706,4.9886,France,FR,Bourgogne-Franche-Comté,,5330,5330
Piolenc,44.1778,4.7614,France,FR,Provence-Alpes-Côte d’Azur,,5324,5324
Garéoult,43.3283,6.0461,France,FR,Provence-Alpes-Côte d’Azur,,5310,5310
Neuville-de-Poitou,46.6850,0.2450,France,FR,Nouvelle-Aquitaine,,5308,5308
Montbonnot-Saint-Martin,45.2269,5.8025,France,FR,Auvergne-Rhône-Alpes,,5306,5306
Viry,46.1175,6.0375,France,FR,Auvergne-Rhône-Alpes,,5299,5299
Beaucouzé,47.4756,-0.6328,France,FR,Pays de la Loire,,5298,5298
Erquinghem-Lys,50.6756,2.8475,France,FR,Hauts-de-France,,5293,5293
Ferrière-la-Grande,50.2550,3.9928,France,FR,Hauts-de-France,,5292,5292
L’Hôpital,49.1581,6.7322,France,FR,Grand Est,,5290,5290
Montrond-les-Bains,45.6436,4.2306,France,FR,Auvergne-Rhône-Alpes,,5290,5290
Sully-sur-Loire,47.7650,2.3753,France,FR,Centre-Val de Loire,,5286,5286
La Ferrière,46.7136,-1.3144,France,FR,Pays de la Loire,,5285,5285
Fenouillet,43.6797,1.3939,France,FR,Occitanie,,5272,5272
Genlis,47.2408,5.2231,France,FR,Bourgogne-Franche-Comté,,5272,5272
Longuyon,49.4469,5.6006,France,FR,Grand Est,,5269,5269
Decize,46.8292,3.4614,France,FR,Bourgogne-Franche-Comté,,5267,5267
Valdoie,47.6672,6.8419,France,FR,Bourgogne-Franche-Comté,,5260,5260
Plessé,47.5417,-1.8869,France,FR,Pays de la Loire,,5257,5257
Mouy,49.3158,2.3194,France,FR,Hauts-de-France,,5255,5255
Gauchy,49.8253,3.2856,France,FR,Hauts-de-France,,5254,5254
Bléré,47.3253,0.9897,France,FR,Centre-Val de Loire,,5250,5250
Bédarrides,44.0406,4.8981,France,FR,Provence-Alpes-Côte d’Azur,,5244,5244
Vergèze,43.7433,4.2200,France,FR,Occitanie,,5243,5243
Mulsanne,47.9117,0.2489,France,FR,Pays de la Loire,,5232,5232
Ligné,47.4117,-1.3772,France,FR,Pays de la Loire,,5232,5232
Mamers,48.3494,0.3694,France,FR,Pays de la Loire,minor,5231,5231
Faulquemont,49.0411,6.5992,France,FR,Grand Est,,5230,5230
Rosheim,48.4967,7.4694,France,FR,Grand Est,,5224,5224
Viarmes,49.1278,2.3703,France,FR,Île-de-France,,5220,5220
Saint-Privat-des-Vieux,44.1442,4.1292,France,FR,Occitanie,,5218,5218
Valence,44.1103,0.8894,France,FR,Occitanie,,5213,5213
Drusenheim,48.7619,7.9517,France,FR,Grand Est,,5211,5211
Pont-Évêque,45.5303,4.9111,France,FR,Auvergne-Rhône-Alpes,,5207,5207
Briare,47.6381,2.7392,France,FR,Centre-Val de Loire,,5207,5207
Guémené-Penfao,47.6300,-1.8325,France,FR,Pays de la Loire,,5207,5207
Mouguerre,43.4683,-1.4161,France,FR,Nouvelle-Aquitaine,,5201,5201
Vic-le-Comte,45.6431,3.2461,France,FR,Auvergne-Rhône-Alpes,,5191,5191
Châteaulin,48.1967,-4.0900,France,FR,Bretagne,minor,5189,5189
Saint-Pourçain-sur-Sioule,46.3075,3.2894,France,FR,Auvergne-Rhône-Alpes,,5182,5182
Villeneuve-sur-Yonne,48.0814,3.2967,France,FR,Bourgogne-Franche-Comté,,5179,5179
Pourrières,43.5039,5.7339,France,FR,Provence-Alpes-Côte d’Azur,,5177,5177
Saint-Michel-Chef-Chef,47.1807,-2.1487,France,FR,Pays de la Loire,,5173,5173
Mazé,47.4564,-0.2731,France,FR,Pays de la Loire,,5173,5173
Parigné-l’Évêque,47.9364,0.3644,France,FR,Pays de la Loire,,5173,5173
La Grand-Croix,45.5031,4.5689,France,FR,Auvergne-Rhône-Alpes,,5168,5168
Saint-Pierre-d’Irube,43.4764,-1.4589,France,FR,Nouvelle-Aquitaine,,5167,5167
Pont-Sainte-Marie,48.3206,4.1014,France,FR,Grand Est,,5161,5161
Montaigu,46.9728,-1.3100,France,FR,Pays de la Loire,,5160,5160
Le Pellerin,47.1983,-1.7539,France,FR,Pays de la Loire,,5149,5149
Champniers,45.7150,0.2056,France,FR,Nouvelle-Aquitaine,,5149,5149
Cancale,48.6767,-1.8519,France,FR,Bretagne,,5147,5147
Cuges-les-Pins,43.2764,5.7006,France,FR,Provence-Alpes-Côte d’Azur,,5147,5147
Crégy-lès-Meaux,48.9786,2.8783,France,FR,Île-de-France,,5145,5145
Penmarch,47.8122,-4.3378,France,FR,Bretagne,,5142,5142
Rocbaron,43.3042,6.0908,France,FR,Provence-Alpes-Côte d’Azur,,5142,5142
Condat-sur-Vienne,45.7931,1.2317,France,FR,Nouvelle-Aquitaine,,5139,5139
Rambervillers,48.3458,6.6347,France,FR,Grand Est,,5139,5139
Le Rove,43.3692,5.2503,France,FR,Provence-Alpes-Côte d’Azur,,5137,5137
Saint-Chéron,48.5536,2.1247,France,FR,Île-de-France,,5134,5134
Bauvin,50.5142,2.8981,France,FR,Hauts-de-France,,5131,5131
Servian,43.4272,3.2992,France,FR,Occitanie,,5126,5126
Peyrolles-en-Provence,43.6456,5.5850,France,FR,Provence-Alpes-Côte d’Azur,,5125,5125
Mériel,49.0792,2.2050,France,FR,Île-de-France,,5124,5124
Grand-Fort-Philippe,50.9978,2.1092,France,FR,Hauts-de-France,,5121,5121
Château-Arnoux-Saint-Auban,44.0933,6.0083,France,FR,Provence-Alpes-Côte d’Azur,,5120,5120
Grans,43.6086,5.0631,France,FR,Provence-Alpes-Côte d’Azur,,5120,5120
Charbonnières-les-Bains,45.7806,4.7464,France,FR,Auvergne-Rhône-Alpes,,5119,5119
Bessan,43.3614,3.4242,France,FR,Occitanie,,5119,5119
Saint-Étienne-au-Mont,50.6817,1.6258,France,FR,Hauts-de-France,,5118,5118
Mourmelon-le-Grand,49.1408,4.3644,France,FR,Grand Est,,5102,5102
Luynes,47.3847,0.5544,France,FR,Centre-Val de Loire,,5099,5099
Querqueville,49.6633,-1.6953,France,FR,Normandie,,5097,5097
La Souterraine,46.2381,1.4856,France,FR,Nouvelle-Aquitaine,,5094,5094
Saint-Gilles,48.1536,-1.8261,France,FR,Bretagne,,5093,5093
Cucq,50.4869,1.6244,France,FR,Hauts-de-France,,5092,5092
Villers-le-Lac,47.0608,6.6703,France,FR,Bourgogne-Franche-Comté,,5090,5090
Locmaria-Plouzané,48.3747,-4.6436,France,FR,Bretagne,,5089,5089
Plouigneau,48.5675,-3.7014,France,FR,Bretagne,,5084,5084
Brébières,50.3369,3.0228,France,FR,Hauts-de-France,,5083,5083
Lacanau,44.9792,-1.0794,France,FR,Nouvelle-Aquitaine,,5082,5082
Saint-Germain-du-Puy,47.0992,2.4811,France,FR,Centre-Val de Loire,,5079,5079
Mirecourt,48.2986,6.1303,France,FR,Grand Est,,5078,5078
La Garnache,46.8906,-1.8311,France,FR,Pays de la Loire,,5075,5075
Sainte-Marie-aux-Mines,48.2467,7.1839,France,FR,Grand Est,,5072,5072
Lambres-lès-Douai,50.3531,3.0678,France,FR,Hauts-de-France,,5071,5071
Pacy-sur-Eure,49.0158,1.3819,France,FR,Normandie,,5069,5069
Laillé,47.9778,-1.7183,France,FR,Bretagne,,5069,5069
Forcalquier,43.9592,5.7797,France,FR,Provence-Alpes-Côte d’Azur,minor,5069,5069
Villefranche-sur-Mer,43.7042,7.3117,France,FR,Provence-Alpes-Côte d’Azur,,5064,5064
Marquise,50.8147,1.7033,France,FR,Hauts-de-France,,5064,5064
Trilport,48.9572,2.9492,France,FR,Île-de-France,,5061,5061
Salbris,47.4253,2.0519,France,FR,Centre-Val de Loire,,5060,5060
Tourves,43.4081,5.9239,France,FR,Provence-Alpes-Côte d’Azur,,5056,5056
Florensac,43.3828,3.4650,France,FR,Occitanie,,5051,5051
Gruissan,43.1069,3.0883,France,FR,Occitanie,,5044,5044
Muzillac,47.5531,-2.4817,France,FR,Bretagne,,5041,5041
Saint-Genis-les-Ollières,45.7572,4.7264,France,FR,Auvergne-Rhône-Alpes,,5036,5036
Villette-d’Anthon,45.7953,5.1158,France,FR,Auvergne-Rhône-Alpes,,5035,5035
Seichamps,48.7158,6.2661,France,FR,Grand Est,,5030,5030
La Balme-de-Sillingy,45.9611,6.0419,France,FR,Auvergne-Rhône-Alpes,,5027,5027
Coublevie,45.3556,5.6167,France,FR,Auvergne-Rhône-Alpes,,5026,5026
Bitche,49.0517,7.4253,France,FR,Grand Est,,5025,5025
Champagne-sur-Oise,49.1358,2.2356,France,FR,Île-de-France,,5024,5024
Cazouls-lès-Béziers,43.3922,3.1014,France,FR,Occitanie,,5023,5023
La Grand-Combe,44.2111,4.0294,France,FR,Occitanie,,5021,5021
Pulnoy,48.7011,6.2583,France,FR,Grand Est,,5020,5020
Le Bourget-du-Lac,45.6483,5.8597,France,FR,Auvergne-Rhône-Alpes,,5018,5018
Moulins-lès-Metz,49.1064,6.1089,France,FR,Grand Est,,5016,5016
Beaucourt,47.4861,6.9253,France,FR,Bourgogne-Franche-Comté,,5014,5014
Saint-Mars-du-Désert,47.3664,-1.4058,France,FR,Pays de la Loire,,5009,5009
Séméac,43.2281,0.1067,France,FR,Occitanie,,5005,5005
Conches-en-Ouche,48.9606,0.9425,France,FR,Normandie,,5004,5004
Montbard,47.6231,4.3369,France,FR,Bourgogne-Franche-Comté,minor,5004,5004
